"date" "NA" "NA.1" "NA.2" "NA.3" "NA.4" "NA.5" "NA.6" "NA.7" "NA.8" "NA.9" "NA.10" "NA.11" "NA.12" "NA.13" "NA.14" "NA.15" "NA.16" "NA.17" "NA.18" "date2" "year"
"73" "1403" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1403" 1425
"74" "1404" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1404" 1433.33333333333
"75" "1405" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1405" 1441.66666666667
"76" "1406" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1406" 1450
"77" "1407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1407" 1458.33333333333
"78" "1408" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1408" 1466.66666666667
"79" "1409" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1409" 1475
"80" "1410" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1410" 1483.33333333333
"81" "1411" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1411" 1491.66666666667
"82" "1412" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1412" 1500
"83" "1501" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1501" 1508.33333333333
"84" "1502" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1502" 1516.66666666667
"85" "1503" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1503" 1525
"86" "1504" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1504" 1533.33333333333
"87" "1505" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1505" 1541.66666666667
"88" "1506" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1506" 1550
"89" "1507" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1507" 1558.33333333333
"90" "1508" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1508" 1566.66666666667
"91" "1509" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1509" 1575
"92" "1510" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1510" 1583.33333333333
"93" "1511" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1511" 1591.66666666667
"94" "1512" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1512" 1600
"95" "1601" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1601" 1608.33333333333
"96" "1602" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1602" 1616.66666666667
