"date" "avgr" "freq 2000-2600" "freq >2600" "ratio >2600"
"1" "01_01" "2202.63005030018" "36880" "98" "0.00265022445778571"
"51" "12_03" "1952.69902892006" "65019" "235" "0.00360131179697796"
"52" "12_05" "1947.0715777574" "65451" "235" "0.00357762689157507"
"53" "12_07" "1942.19493366803" "65863" "238" "0.00360055067245579"
"54" "12_08" "1939.13511004241" "65971" "233" "0.00351942480816869"
"55" "12_09" "1936.95063173136" "66050" "232" "0.00350019613167979"
"56" "12_10" "1934.56443248211" "66112" "240" "0.00361707258258982"
"57" "12_11" "1933.62563764694" "66264" "237" "0.0035638561826138"
"58" "12_12" "1930.50882750328" "66308" "244" "0.00366630604639981"
"59" "13_01" "1927.16601122296" "64116" "238" "0.00369829381235044"
"60" "13_02" "1925.28184115849" "65503" "242" "0.0036808882804776"
"61" "13_03" "1923.17952245951" "65575" "243" "0.00369199914916892"
"62" "13_04" "1920.40847967094" "65721" "240" "0.00363851366716696"
"63" "13_05" "1917.48285451232" "65660" "242" "0.00367211920730782"
"64" "13_06" "1913.75214880224" "65784" "241" "0.0036501325255585"
"65" "13_07" "1912.30726978801" "66196" "237" "0.00356750410187708"
"66" "13_08" "1909.66216199823" "66280" "240" "0.00360793746241732"
"67" "13_09" "1907.27984702161" "66351" "241" "0.00361905333974051"
"68" "13_10" "1904.28132510362" "66412" "241" "0.00361574122695152"
"69" "13_11" "1901.83165048888" "66508" "241" "0.00361054098188737"
"70" "13_12" "1899.80074836845" "66524" "246" "0.00368428935150517"
"71" "14_01" "1897.51124288591" "66651" "248" "0.00370708082333069"
"72" "14_02" "1893.8270947822" "66714" "246" "0.00367383512544803"
"73" "14_03" "1891.34556522436" "66732" "247" "0.00368772301766225"
"74" "14_04" "1888.58963202387" "66995" "249" "0.00370293260365237"
"75" "14_05" "1884.53995222254" "66972" "246" "0.00365973399982148"
"76" "14_06" "1881.27063144387" "66985" "247" "0.00367384578772013"
"77" "14_07" "1878.16225432417" "67011" "246" "0.00365761184709398"
"78" "14_08" "1873.95014345261" "67066" "246" "0.00365462324696934"
"79" "14_09" "1868.74538928415" "67179" "250" "0.00370760355336725"
"80" "14_10" "1864.61806305476" "67287" "248" "0.00367216998593322"
"81" "14_11" "1859.87060620704" "67371" "243" "0.00359393025113142"
"82" "14_12" "1856.14084911956" "67484" "247" "0.00364677917054229"
"83" "15_01" "1851.4284803207" "67569" "243" "0.0035834365599009"
"84" "15_02" "1847.80223763079" "67646" "242" "0.00356469479142116"
"85" "15_03" "1844.0385527525" "67758" "243" "0.0035734768606344"
"86" "15_04" "1840.74052961904" "67852" "248" "0.0036417033773862"
"87" "15_05" "1835.41791788674" "67942" "245" "0.00359306026075352"
"88" "15_06" "1830.04466815985" "67959" "249" "0.0036505981703026"
"89" "15_07" "1825.86006883159" "68052" "250" "0.00366021492782056"
"90" "15_08" "1821.35393570736" "68154" "252" "0.00368388737830015"
